,m,x,r,n,uj,d,v,ns,vn,p,nr,y,f,an,nt,c,a,zg,j,eng,l,df,q,g,ul,ug,nz,ad,t,i,uz,b,s,ud,uv,nrt,u,k,nrfg,z,ag,o,mq,ng,e,h,vq,rz,vg,vd,yg,rr,tg,vi,dg
24327,"(1, 18687)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21625,"(1, 18687)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20106,"(1, 18687)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5092,"(1, 18687)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
世博会,,,,"(2, 56016)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5215,"(1, 18687)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
翔,,,,,,,,,,,"(1, 4753)",,,,,,"(1, 9827)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
口味,,,,"(4, 56016)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22036,"(1, 18687)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16974,"(1, 18687)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
太太,,,,"(4, 56016)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18167,"(1, 18687)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
随意,,,,,,"(2, 16573)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21783,"(1, 18687)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
当事,,,,"(2, 56016)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
受害,,,,,,,"(5, 55737)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22560,"(1, 18687)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22767,"(1, 18687)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18011,"(1, 18687)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20568,"(1, 18687)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20010,"(1, 18687)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
国家队,,,,,,,,,,,,,,,"(1, 424)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
成员,,,,"(1, 56016)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
致力于,,,,"(2, 56016)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
召回,,,,,,,"(1, 55737)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16597,"(1, 18687)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
一大口,"(1, 18687)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22549,"(1, 18687)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
开玩笑,,,,,,,"(5, 55737)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
地表,,,,"(1, 56016)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21024,"(1, 18687)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
模糊,,,,,,,,,,,,,,,,,"(2, 9827)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23759,"(1, 18687)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21962,"(1, 18687)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
十四岁,"(1, 18687)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
才学,,,,"(1, 56016)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5920,"(1, 18687)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
发图,,,,,,,"(2, 55737)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
^,,"(2, 47960)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
３,,"(1, 47960)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
╱,,"(1, 47960)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5319,"(1, 18687)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
起因,,,,"(1, 56016)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23123,"(1, 18687)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
体育赛事,,,,"(1, 56016)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21334,"(1, 18687)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5939,"(1, 18687)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
拉美,,,,,,,,,,,,,,,,,,,,,,,,,,,"(8, 3186)",,,,,,,,,,,,,,,,,,,,,,,,,,,,
14626,"(1, 18687)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18720,"(1, 18687)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
排列,,,,,,,"(1, 55737)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
居,,,,"(1, 56016)",,,"(1, 55737)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
几条,"(4, 18687)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
情绪化,,,,"(2, 56016)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
言辞,,,,,,,,,,,"(4, 4753)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
贱,,,,,,,,,,,,,,,,,"(5, 9827)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
频现,,,,,,,"(1, 55737)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14711,"(1, 18687)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
好笑,,,,,,,"(2, 55737)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
国际主义,,,,"(3, 56016)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
实为,,,,,,,"(1, 55737)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
世界主义,,,,,,,,,,,,,,,,,,,,,,,,,,,"(1, 3186)",,,,,,,,,,,,,,,,,,,,,,,,,,,,
蹦,,,,,,,"(2, 55737)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
跶,,,,,,,,,,,,"(1, 3968)",,,,,,"(1, 1156)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22988,"(1, 18687)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
首页,"(3, 18687)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
随手,,,,,,"(2, 16573)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
十一,"(1, 18687)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
见闻,,,,"(4, 56016)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17443,"(1, 18687)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
洋气,,,,"(1, 56016)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20583,"(1, 18687)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
长话短说,,,,,,,,,,,,,,,,,,,,,"(1, 4726)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
拦截,,,,,,,"(2, 55737)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14950,"(1, 18687)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
那时,,,"(2, 23035)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
引经据典,,,,"(1, 56016)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
全力,,,,"(1, 56016)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20859,"(1, 18687)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
黎族,,,,,,,,,,,,,,,,,,,,,,,,,,,"(1, 3186)",,,,,,,,,,,,,,,,,,,,,,,,,,,,
5543,"(1, 18687)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
都行,,,,"(1, 56016)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21624,"(1, 18687)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15894,"(1, 18687)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
内部矛盾,,,,,,,,,,,,,,,,,,,,,"(8, 4726)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
相当于,,,,,,,"(8, 55737)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
老公,,,,,,,,,,,"(5, 4753)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22492,"(1, 18687)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
猜测,,,,,,,,,"(2, 2566)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
以下几点,,,,,,,,,,,,,,,,,,,,,"(1, 4726)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14680,"(1, 18687)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USC,,,,,,,,,,,,,,,,,,,,"(3, 2157)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
上网,,,,,,,"(2, 55737)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22368,"(1, 18687)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20860,"(1, 18687)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
暂住,,,,,,,"(1, 55737)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
途径,,,,"(2, 56016)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5278,"(1, 18687)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23700,"(1, 18687)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
干好,,,,,,,,,,,,,,,,,"(1, 9827)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14868,"(1, 18687)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
南部,,,,,,,,,,,,,"(1, 3193)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
算不算,,,,,,,"(2, 55737)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14801,"(1, 18687)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
冷板凳,,,,"(1, 56016)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
捅,,,,,,,"(2, 55737)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
刀子,,,,"(2, 56016)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19522,"(1, 18687)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
德国人,,,,,,,,,,,"(2, 4753)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
排犹,,,,,,,,,,,,,,,,,,,,,"(1, 4726)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
矛盾激化,,,,"(1, 56016)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16642,"(1, 18687)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24172,"(1, 18687)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
希拉里,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(3, 385)",,,,,,,,,,,,,,,,,,,
上台,,,,,,,,"(4, 16415)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
反美,,,,,,,,,"(1, 2566)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
创下,,,,,,,"(1, 55737)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
新高,,,,,,,"(1, 55737)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15904,"(1, 18687)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
第二语言,,,,,,,,,,,,,,,,,,,,,,,,,,,"(1, 3186)",,,,,,,,,,,,,,,,,,,,,,,,,,,,
成段,,,,"(1, 56016)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
西班牙语,,,,,,,,,,,,,,,,,,,,,,,,,,,"(1, 3186)",,,,,,,,,,,,,,,,,,,,,,,,,,,,
18504,"(1, 18687)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
边境,,,,"(1, 56016)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
满大街,,,,,,,,"(2, 16415)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
喝醉酒,,,,,,,,,,,,,,,,,,,,,"(1, 4726)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
耍酒疯,,,,,,,,,,,,,,,,,,,,,"(1, 4726)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
打骂,,,,,,,"(1, 55737)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22838,"(1, 18687)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
赶回,,,,,,,"(2, 55737)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
棉花,,,,"(2, 56016)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16891,"(1, 18687)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
track,,,,,,,,,,,,,,,,,,,,"(1, 2157)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
team,,,,,,,,,,,,,,,,,,,,"(1, 2157)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18957,"(1, 18687)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
红粉,,,,,,,,,,,,,,,,,,,,,,,,,,,"(2, 3186)",,,,,,,,,,,,,,,,,,,,,,,,,,,,
执,,,,,,,"(2, 55737)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
牛耳,,,,,,,,,,,"(2, 4753)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23507,"(1, 18687)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20878,"(1, 18687)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
贫民区,,,,"(1, 56016)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
闭塞,,,,,,,"(1, 55737)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
围着,,,,,,,"(2, 55737)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
草裙,,,,"(1, 56016)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
嘴里,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(2, 1085)",,,,,,,,,,,,,,,,,,,,,,
呜,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(1, 57)",,,,,,,,,,,,,
哩,,,,,,,,,,,,"(2, 3968)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
哇啦,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(1, 57)",,,,,,,,,,,,,
跳战,,,,,,,"(1, 55737)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
舞,,,,"(1, 56016)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24059,"(1, 18687)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
修特,,,,,,,,,,,"(1, 4753)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
额托,,,,,,,,,,,"(1, 4753)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
长音,,,,"(1, 56016)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5922,"(1, 18687)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
命犯,,,,"(1, 56016)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17621,"(1, 18687)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24213,"(1, 18687)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
真服了,,,,,,,,,,,,,,,,,,,,,"(1, 4726)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
尽,,,,,,,"(2, 55737)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22335,"(1, 18687)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
才智,,,,,,,,,,,"(1, 4753)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
出众,,,,"(3, 56016)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
主子,,,,"(3, 56016)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
保皇,,,,"(1, 56016)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
帝王,,,,,,,,,,,"(1, 4753)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
民国,,,,"(5, 56016)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
胡宗南,,,,,,,,,,,"(1, 4753)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
陈诚,,,,,,,,,,,"(1, 4753)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
胡适,,,,,,,,,,,"(1, 4753)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16086,"(1, 18687)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
做做,,,,,,,"(1, 55737)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
阅读,,,,,,,"(6, 55737)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16388,"(1, 18687)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
东北亚,,,,,,,,"(3, 16415)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
合称,,,,,,,"(1, 55737)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14728,"(1, 18687)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
黄色人种,,,,"(1, 56016)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
远远不如,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(2, 1174)",,,,,,,,,,,,,,,,,,,,,,,,,
第三,"(2, 18687)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
第四位,"(1, 18687)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15165,"(1, 18687)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
安倍,,,,,,,,,,,"(1, 4753)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
忌日,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(1, 2381)",,,,,,,,,,,,,,,,,,,,,,,,,,
17655,"(1, 18687)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
强壮,,,,,,,,,,,,,,,,,"(6, 9827)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
叫喊,,,,,,,"(1, 55737)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
威武,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(1, 385)",,,,,,,,,,,,,,,,,,,
21262,"(1, 18687)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14853,"(1, 18687)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24430,"(1, 18687)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
daniel,,,,,,,,,,,,,,,,,,,,"(1, 2157)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
povey,,,,,,,,,,,,,,,,,,,,"(1, 2157)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
霍普金斯,,,,,,,,,,,"(1, 4753)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
小米,,,,"(2, 56016)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
大牛,,,,"(1, 56016)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
辞职信,,,,"(1, 56016)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
摘抄,,,,,,,"(1, 55737)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
White,,,,,,,,,,,,,,,,,,,,"(2, 2157)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23130,"(1, 18687)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
和澳洲,,,,,,,,"(1, 16415)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
犯法,,,,,,,,,"(1, 2566)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24166,"(1, 18687)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
md,,,,,,,,,,,,,,,,,,,,"(1, 2157)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
出出气,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(1, 1174)",,,,,,,,,,,,,,,,,,,,,,,,,
22602,"(1, 18687)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
好友,,,,"(1, 56016)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
